TIME,NIC:1,NIA:1,NIE:1
58.7,66.45842815,1252.85681565,507.64082543
58.8,65.81105926,1230.86942683,497.68985509
58.9,65.16374048,1209.23996924,487.93206794
59,64.51671482,1187.96548126,478.3647059
59.1,63.87021702,1167.04283048,468.98497277
59.2,63.22447365,1146.46872786,459.79004062
59.3,62.57970322,1126.23974131,450.7770557
59.4,61.93611635,1106.35230858,441.94314414
59.5,61.29391587,1086.80274959,433.28541721
59.6,60.65329693,1067.58727808,424.80097621
59.7,60.0144472,1048.70201272,416.48691709
59.8,59.37754697,1030.14298765,408.34033475
59.9,58.74276931,1011.90616245,400.35832703
60,58.11028021,993.98743156,392.53799839
60.1,57.48023871,976.38263322,384.87646336
60.2,56.85279711,959.08755788,377.37084974
60.3,56.22810106,942.09795614,370.01830145
60.4,55.60628972,925.40954621,362.81598133
60.5,54.98749597,909.01802095,355.7610735
60.6,54.37184647,892.91905449,348.8507857
60.7,53.7594619,877.10830837,342.0823513
60.8,53.15045704,861.58143737,335.45303122
60.9,52.54494098,846.33409493,328.96011555
61,51.94301724,831.36193818,322.60092515
61.1,51.34478392,816.66063268,316.37281298
61.2,50.75033384,802.2258568,310.27316531
61.3,50.15975472,788.05330578,304.29940279
61.4,49.57312929,774.13869553,298.44898145
61.5,48.99053545,760.47776609,292.71939345
61.6,48.41204641,747.06628488,287.10816783
61.7,47.83773083,733.90004967,281.61287109
61.8,47.26765294,720.97489125,276.2311077
61.9,46.70187272,708.28667602,270.96052047
62,46.14044598,695.83130815,265.79879094
62.1,45.58342452,683.60473177,260.7436395
